,PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
44,423,NA,,Ryan,Kalil,C,Inactive,"6'2""",300,1985-03-29T00:00:00,USC,17,OL,FALSE,OFF,Ryan Kalil,38,14th Season,29-Mar-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/423.png,NA,BUF,0,R.Kalil,NA,Scrambled,Scrambled,NA,NA,NA,CAR,2007,2,73,FALSE,6,2,6,NA,Scrambled,NA,300312,d503e3cf-861d-4b06-8de8-f66b1b72a3bf,4189,5294,NA,15132,3536,NA,NA,8313,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,6082219,http://cdn.usatsimg.com/api/download/?imageID=10430494,http://cdn.usatsimg.com/api/download/?imageID=10839454,2017-11-22T06:42:08,2018-05-16T13:57:56
45,8786,NA,64,Samson,Satele,C,Inactive,"6'3""",300,1984-11-29T00:00:00,Hawaii,12,OL,FALSE,OFF,Samson Satele,39,8th Season,29-Nov-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8786.png,NA,WAS,0,S.Satele,NA,Scrambled,Scrambled,NA,NA,NA,MIA,2007,2,74,FALSE,6,3,40,NA,Scrambled,NA,300302,b565f20f-6fac-4efe-84d3-9082f86da25a,NA,NA,NA,NA,9561,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
112,992,NA,64,Kyle,Cook,C,Inactive,"6'3""",312,1983-07-25T00:00:00,Michigan State,9,OL,FALSE,OFF,Kyle Cook,40,6th Season,25-Jul-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,K.Cook,NA,Scrambled,Scrambled,NA,NA,NA,MIN,2007,NA,NA,TRUE,6,3,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
122,4182,NA,63,Lyle,Sendlein,C,Inactive,"6'3""",308,1984-03-16T00:00:00,Texas,12,OL,FALSE,OFF,Lyle Sendlein,40,8th Season,16-Mar-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4182.png,NA,CAR,0,L.Sendlein,NA,Scrambled,Scrambled,NA,NA,NA,ARI,2007,NA,NA,TRUE,6,3,12,NA,Scrambled,NA,300281,81e6e16c-ef1b-4898-b75a-7bb25741234f,NA,5533,NA,14254,9560,NA,NA,8550,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
12,6304,NA,24,Darrelle,Revis,CB,Inactive,"5'11""",198,1985-07-14T00:00:00,Pittsburgh,14,DB,FALSE,DEF,Darrelle Revis,38,11th Season,14-Jul-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6304.png,NA,TEN,0,D.Revis,NA,Scrambled,Scrambled,NA,NA,NA,NYJ,2007,1,17,FALSE,5,11,16,NA,Scrambled,NA,300390,2979c3a5-0e4e-489e-82d7-d208e48b828b,4155,5207,269063,12986,6444,NA,NA,8268,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,3658,http://cdn.usatsimg.com/api/download/?imageID=8764704,NA,NA,NA
14,1650,NA,29,Leon,Hall,CB,Inactive,"5'11""",199,1984-12-09T00:00:00,Michigan,15,DB,FALSE,DEF,Leon Hall,39,12th Season,9-Dec-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1650.png,NA,KC,0,L.Hall,NA,Scrambled,Scrambled,NA,NA,NA,CIN,2007,1,22,FALSE,5,11,2,NA,Scrambled,NA,300364,16340de5-372b-4c20-953f-07a0fe26be69,4204,5348,216026,4132,9370,NA,NA,8272,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,2397495,http://cdn.usatsimg.com/api/download/?imageID=10839864,http://cdn.usatsimg.com/api/download/?imageID=10839864,2018-05-16T17:06:18,2018-05-16T17:06:18
16,796,NA,38,Aaron,Ross,CB,Inactive,"6'0""",197,1982-09-15T00:00:00,Texas,12,DB,FALSE,DEF,Aaron Ross,41,8th Season,15-Sep-82,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/796.png,NA,NYJ,0,A.Ross,NA,Scrambled,Scrambled,NA,NA,NA,NYG,2007,1,25,FALSE,6,0,9,NA,Scrambled,NA,300596,fef6074b-6053-482e-a1e9-9577f3a394b1,NA,NA,NA,NA,9331,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
33,11993,NA,23,Chris,Houston,CB,Inactive,"5'10""",178,1984-10-18T00:00:00,Arkansas,12,DB,FALSE,DEF,Chris Houston,39,8th Season,18-Oct-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/11993.png,NA,JAX,0,C.Houston,NA,Scrambled,Scrambled,NA,NA,NA,ATL,2007,2,51,FALSE,5,10,26,NA,Scrambled,NA,303808,e097b5b1-8262-4346-96f1-6b6df242f867,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
41,11757,NA,30,Eric,Wright,CB,Inactive,"5'10""",190,1985-07-24T00:00:00,UNLV,11,DB,FALSE,DEF,Eric Wright,38,7th Season,24-Jul-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,E.Wright,NA,Scrambled,Scrambled,NA,NA,NA,CLE,2007,2,66,FALSE,5,10,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
43,12150,NA,30,Josh,Wilson,CB,Inactive,"5'9""",192,1985-03-11T00:00:00,Maryland,11,DB,FALSE,DEF,Josh Wilson,39,9th Season,11-Mar-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/12150.png,NA,CHI,0,J.Wilson,NA,Scrambled,Scrambled,NA,NA,NA,SEA,2007,2,68,FALSE,5,9,24,NA,Scrambled,NA,300393,2a22fdb5-2636-4fd5-8afe-351787d4f8a3,NA,5353,NA,10904,2713,NA,NA,8309,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
79,7350,NA,25,Tarell,Brown,CB,Inactive,"5'11""",193,1985-01-06T00:00:00,Texas,12,DB,FALSE,DEF,Tarell Brown,39,8th Season,6-Jan-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7350.png,NA,DEN,0,T.Brown,NA,Scrambled,Scrambled,NA,NA,NA,SF,2007,5,182,FALSE,5,11,36,NA,Scrambled,NA,300513,a058c9ae-39c8-4112-870d-607b26bbb7e7,NA,6200,NA,6927,9558,NA,NA,8401,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
102,12141,NA,38,Trumaine,McBride,CB,Inactive,"5'9""",185,1985-09-24T00:00:00,Mississippi,12,DB,FALSE,DEF,Trumaine McBride,38,8th Season,24-Sep-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/12141.png,NA,PHI,0,T.McBride,NA,Scrambled,Scrambled,NA,NA,NA,CHI,2007,7,274,FALSE,5,9,38,NA,Scrambled,NA,300352,10338dba-40ef-4802-8461-44e24dcf78c5,NA,7018,NA,8858,9810,NA,NA,8475,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
106,5677,NA,45,Alan,Ball,CB,Inactive,"6'2""",195,1985-03-29T00:00:00,Illinois,12,DB,FALSE,DEF,Alan Ball,38,8th Season,29-Mar-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5677.png,NA,NE,0,A.Ball,NA,Scrambled,Scrambled,NA,NA,NA,DAL,2007,7,293,FALSE,6,2,12,NA,Scrambled,NA,300490,8450a2fe-7386-4ac5-951c-a5a4dfdd733c,NA,6897,NA,7854,10068,NA,NA,8491,Scrambled,Scrambled,NA,Scrambled,NA,NA,James Morrison,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
129,8390,NA,34,Marquice,Cole,CB,Inactive,"5'10""",192,1983-11-13T00:00:00,Northwestern,8,DB,FALSE,DEF,Marquice Cole,40,5th Season,13-Nov-83,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,M.Cole,NA,Scrambled,Scrambled,NA,NA,NA,LV,2007,NA,NA,TRUE,5,10,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
121,3862,NA,21,Michael,Adams,DB,Inactive,"5'8""",181,1985-06-17T00:00:00,Louisiana-Lafayette,9,DB,FALSE,DEF,Michael Adams,38,6th Season,17-Jun-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,M.Adams,NA,Scrambled,Scrambled,NA,NA,NA,ARI,2007,NA,NA,TRUE,5,8,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
6,4547,NA,91,Jamaal,Anderson,DE,Inactive,"6'5""",289,1986-02-06T00:00:00,Arkansas,11,DL,FALSE,DEF,Jamaal Anderson,38,7th Season,6-Feb-86,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,J.Anderson,NA,Scrambled,Scrambled,NA,NA,NA,ATL,2007,1,12,FALSE,6,5,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
11,8017,NA,94,Adam,Carriker,DE,Inactive,"6'6""",296,1984-05-06T00:00:00,Nebraska,11,DL,FALSE,DEF,Adam Carriker,39,7th Season,6-May-84,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,A.Carriker,NA,Scrambled,Scrambled,NA,NA,NA,LAR,2007,1,16,FALSE,6,6,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
42,9931,NA,94,Turk,McBride,DE,Inactive,"6'2""",278,1985-05-30T00:00:00,Tennessee,11,DL,FALSE,DEF,Turk McBride,38,7th Season,30-May-85,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,NA,NA,0,T.McBride,NA,Scrambled,Scrambled,NA,NA,NA,KC,2007,2,67,FALSE,6,2,NA,NA,Scrambled,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Scrambled,Scrambled,NA,Scrambled,NA,NA,NA,NA,Scrambled,Scrambled,FALSE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
